index	hemi	name	color	fs_index	fs_name
0	L	Unknown	#000000ff	11100	ctx_lh_Unknown
3988503	L	G_and_S_frontomargin	#17dc3cff	11101	ctx_lh_G_and_S_frontomargin
11811863	L	G_and_S_occipital_inf	#173cb4ff	11102	ctx_lh_G_and_S_occipital_inf
3957823	L	G_and_S_paracentral	#3f643cff	11103	ctx_lh_G_and_S_paracentral
14423103	L	G_and_S_subcentral	#3f14dcff	11104	ctx_lh_G_and_S_subcentral
16384013	L	G_and_S_transv_frontopol	#0d00faff	11105	ctx_lh_G_and_S_transv_frontopol
15386	L	G_and_S_cingul-Ant	#1a3c00ff	11106	ctx_lh_G_and_S_cingul-Ant
4930586	L	G_and_S_cingul-Mid-Ant	#1a3c4bff	11107	ctx_lh_G_and_S_cingul-Mid-Ant
9845786	L	G_and_S_cingul-Mid-Post	#1a3c96ff	11108	ctx_lh_G_and_S_cingul-Mid-Post
16399385	L	G_cingul-Post-dorsal	#193cfaff	11109	ctx_lh_G_cingul-Post-dorsal
1644860	L	G_cingul-Post-ventral	#3c1919ff	11110	ctx_lh_G_cingul-Post-ventral
1316020	L	G_cuneus	#b41414ff	11111	ctx_lh_G_cuneus
6558940	L	G_front_inf-Opercular	#dc1464ff	11112	ctx_lh_G_front_inf-Opercular
3947660	L	G_front_inf-Orbital	#8c3c3cff	11113	ctx_lh_G_front_inf-Orbital
9231540	L	G_front_inf-Triangul	#b4dc8cff	11114	ctx_lh_G_front_inf-Triangul
11822220	L	G_front_middle	#8c64b4ff	11115	ctx_lh_G_front_middle
9180340	L	G_front_sup	#b4148cff	11116	ctx_lh_G_front_sup
657943	L	G_Ins_lg_and_S_cent_ins	#170a0aff	11117	ctx_lh_G_Ins_lg_and_S_cent_ins
9211105	L	G_insular_short	#e18c8cff	11118	ctx_lh_G_insular_short
11812020	L	G_occipital_middle	#b43cb4ff	11119	ctx_lh_G_occipital_middle
3988500	L	G_occipital_sup	#14dc3cff	11120	ctx_lh_G_occipital_sup
9180220	L	G_oc-temp_lat-fusifor	#3c148cff	11121	ctx_lh_G_oc-temp_lat-fusifor
9221340	L	G_oc-temp_med-Lingual	#dcb48cff	11122	ctx_lh_G_oc-temp_med-Lingual
1336385	L	G_oc-temp_med-Parahip	#416414ff	11123	ctx_lh_G_oc-temp_med-Parahip
1326300	L	G_orbital	#dc3c14ff	11124	ctx_lh_G_orbital
14433300	L	G_pariet_inf-Angular	#143cdcff	11125	ctx_lh_G_pariet_inf-Angular
3957860	L	G_pariet_inf-Supramar	#64643cff	11126	ctx_lh_G_pariet_inf-Supramar
14464220	L	G_parietal_sup	#dcb4dcff	11127	ctx_lh_G_parietal_sup
9221140	L	G_postcentral	#14b48cff	11128	ctx_lh_G_postcentral
11832380	L	G_precentral	#3c8cb4ff	11129	ctx_lh_G_precentral
9180185	L	G_precuneus	#19148cff	11130	ctx_lh_G_precuneus
6568980	L	G_rectus	#143c64ff	11131	ctx_lh_G_rectus
1367100	L	G_subcallosal	#3cdc14ff	11132	ctx_lh_G_subcallosal
14433340	L	G_temp_sup-G_T_transv	#3c3cdcff	11133	ctx_lh_G_temp_sup-G_T_transv
14433500	L	G_temp_sup-Lateral	#dc3cdcff	11134	ctx_lh_G_temp_sup-Lateral
3988545	L	G_temp_sup-Plan_polar	#41dc3cff	11135	ctx_lh_G_temp_sup-Plan_polar
1346585	L	G_temp_sup-Plan_tempo	#198c14ff	11136	ctx_lh_G_temp_sup-Plan_tempo
6610140	L	G_temporal_inf	#dcdc64ff	11137	ctx_lh_G_temporal_inf
3947700	L	G_temporal_middle	#b43c3cff	11138	ctx_lh_G_temporal_middle
14423101	L	Lat_Fis-ant-Horizont	#3d14dcff	11139	ctx_lh_Lat_Fis-ant-Horizont
3937341	L	Lat_Fis-ant-Vertical	#3d143cff	11140	ctx_lh_Lat_Fis-ant-Vertical
6569021	L	Lat_Fis-post	#3d3c64ff	11141	ctx_lh_Lat_Fis-post
1644825	L	Medial_wall	#191919ff	11142	ctx_lh_Medial_wall
3937420	L	Pole_occipital	#8c143cff	11143	ctx_lh_Pole_occipital
1357020	L	Pole_temporal	#dcb414ff	11144	ctx_lh_Pole_temporal
11842623	L	S_calcarine	#3fb4b4ff	11145	ctx_lh_S_calcarine
660701	L	S_central	#dd140aff	11146	ctx_lh_S_central
6558941	L	S_cingul-Marginalis	#dd1464ff	11147	ctx_lh_S_cingul-Marginalis
9190621	L	S_circular_insula_ant	#dd3c8cff	11148	ctx_lh_S_circular_insula_ant
14423261	L	S_circular_insula_inf	#dd14dcff	11149	ctx_lh_S_circular_insula_inf
14474301	L	S_circular_insula_sup	#3ddcdcff	11150	ctx_lh_S_circular_insula_sup
13158500	L	S_collat_transv_ant	#64c8c8ff	11151	ctx_lh_S_collat_transv_ant
13158410	L	S_collat_transv_post	#0ac8c8ff	11152	ctx_lh_S_collat_transv_post
1367261	L	S_front_inf	#dddc14ff	11153	ctx_lh_S_front_inf
6558861	L	S_front_middle	#8d1464ff	11154	ctx_lh_S_front_middle
6609981	L	S_front_sup	#3ddc64ff	11155	ctx_lh_S_front_sup
1326221	L	S_interm_prim-Jensen	#8d3c14ff	11156	ctx_lh_S_interm_prim-Jensen
14423183	L	S_intrapariet_and_P_trans	#8f14dcff	11157	ctx_lh_S_intrapariet_and_P_trans
14433381	L	S_oc_middle_and_Lunatus	#653cdcff	11158	ctx_lh_S_oc_middle_and_Lunatus
9180181	L	S_oc_sup_and_transversal	#15148cff	11159	ctx_lh_S_oc_sup_and_transversal
11801661	L	S_occipital_ant	#3d14b4ff	11160	ctx_lh_S_occipital_ant
1346781	L	S_oc-temp_lat	#dd8c14ff	11161	ctx_lh_S_oc-temp_lat
14443661	L	S_oc-temp_med_and_Lingual	#8d64dcff	11162	ctx_lh_S_oc-temp_med_and_Lingual
1336541	L	S_orbital_lateral	#dd6414ff	11163	ctx_lh_S_orbital_lateral
