index	hemi	name	color
16448250	L	unknown 	#fafafaff
3683048	L	lateralorbitofrontal_9 	#e83238ff
5846070	L	lateralorbitofrontal_11 	#363459ff
13422586	L	lateralorbitofrontal_5 	#facfccff
16132110	L	lateralorbitofrontal_6 	#0e28f6ff
8148810	L	lateralorbitofrontal_7 	#4a577cff
1947919	L	lateralorbitofrontal_10 	#0fb91dff
15587562	L	lateralorbitofrontal_4 	#ead8edff
9114114	L	lateralorbitofrontal_17 	#02128bff
7033759	L	lateralorbitofrontal_8 	#9f536bff
8927886	L	lateralorbitofrontal_15 	#8e3a88ff
4460926	L	lateralorbitofrontal_13 	#7e1144ff
16128858	L	lateralorbitofrontal_12 	#5a1bf6ff
5718304	L	lateralorbitofrontal_1 	#204157ff
14562407	L	lateralorbitofrontal_3 	#6734deff
14311792	L	lateralorbitofrontal_16 	#7061daff
2918828	L	lateralorbitofrontal_14 	#ac892cff
11697910	L	lateralorbitofrontal_2 	#f67eb2ff
10860783	L	parsorbitalis_4 	#efb8a5ff
11424290	L	parsorbitalis_1 	#2252aeff
13000131	L	parsorbitalis_2 	#c35dc6ff
7392414	L	parsorbitalis_3 	#9ecc70ff
9105524	L	frontalpole_2 	#74f08aff
10321862	L	frontalpole_1 	#c67f9dff
1165335	L	medialorbitofrontal_1 	#17c811ff
2436947	L	medialorbitofrontal_9 	#532f25ff
11603207	L	medialorbitofrontal_7 	#070db1ff
7142771	L	medialorbitofrontal_3 	#73fd6cff
5720311	L	medialorbitofrontal_10 	#f74857ff
10228256	L	medialorbitofrontal_8 	#20129cff
4204463	L	medialorbitofrontal_5 	#af2740ff
6005618	L	medialorbitofrontal_4 	#72a35bff
12011741	L	medialorbitofrontal_2 	#dd48b7ff
7666118	L	medialorbitofrontal_6 	#c6f974ff
4737239	L	medialorbitofrontal_11 	#d74848ff
5936371	L	parstriangularis_8 	#f3945aff
236552	L	parstriangularis_5 	#089c03ff
10147459	L	parstriangularis_3 	#83d69aff
9656262	L	parstriangularis_4 	#c65793ff
2096806	L	parstriangularis_1 	#a6fe1fff
11178553	L	parstriangularis_2 	#3992aaff
9485070	L	parstriangularis_7 	#0ebb90ff
8358543	L	parstriangularis_6 	#8f8a7fff
14408785	L	parsopercularis_8 	#51dcdbff
11232313	L	parsopercularis_4 	#3964abff
16545382	L	parsopercularis_5 	#6676fcff
1569509	L	parsopercularis_9 	#e5f217ff
1667633	L	parsopercularis_3 	#317219ff
1621041	L	parsopercularis_1 	#31bc18ff
8711258	L	parsopercularis_7 	#5aec84ff
9824369	L	parsopercularis_6 	#71e895ff
2955184	L	parsopercularis_2 	#b0172dff
10167409	L	rostralmiddlefrontal_19 	#71249bff
4541862	L	rostralmiddlefrontal_21 	#a64d45ff
914642	L	rostralmiddlefrontal_16 	#d2f40dff
16674669	L	rostralmiddlefrontal_22 	#6d6ffeff
14953572	L	rostralmiddlefrontal_24 	#642ce4ff
2856911	L	rostralmiddlefrontal_10 	#cf972bff
8878942	L	rostralmiddlefrontal_20 	#5e7b87ff
14393980	L	rostralmiddlefrontal_15 	#7ca2dbff
13363163	L	rostralmiddlefrontal_18 	#dbe7cbff
13503819	L	rostralmiddlefrontal_7 	#4b0dceff
6915109	L	rostralmiddlefrontal_25 	#258469ff
15190282	L	rostralmiddlefrontal_23 	#0ac9e7ff
8506331	L	rostralmiddlefrontal_4 	#dbcb81ff
12001342	L	rostralmiddlefrontal_27 	#3e20b7ff
10593473	L	rostralmiddlefrontal_14 	#c1a4a1ff
14158313	L	rostralmiddlefrontal_17 	#e909d8ff
8266466	L	rostralmiddlefrontal_9 	#e2227eff
7281760	L	rostralmiddlefrontal_12 	#601c6fff
827538	L	rostralmiddlefrontal_2 	#92a00cff
1819869	L	rostralmiddlefrontal_13 	#ddc41bff
12587722	L	rostralmiddlefrontal_11 	#ca12c0ff
16271316	L	rostralmiddlefrontal_3 	#d447f8ff
4665521	L	rostralmiddlefrontal_5 	#b13047ff
29636	L	rostralmiddlefrontal_8 	#c47300ff
15208606	L	rostralmiddlefrontal_26 	#9e10e8ff
4880143	L	rostralmiddlefrontal_1 	#0f774aff
8097195	L	rostralmiddlefrontal_6 	#ab8d7bff
2912083	L	superiorfrontal_40 	#536f2cff
1255271	L	superiorfrontal_4 	#672713ff
8514131	L	superiorfrontal_3 	#53ea81ff
682630	L	superiorfrontal_14 	#866a0aff
10702812	L	superiorfrontal_7 	#dc4fa3ff
11207563	L	superiorfrontal_23 	#8b03abff
16621130	L	superiorfrontal_10 	#4a9efdff
411077	L	superiorfrontal_39 	#c54506ff
4304351	L	superiorfrontal_19 	#dfad41ff
6178444	L	superiorfrontal_29 	#8c465eff
