index	hemi	name	color
1639705	L	unknown	#190519ff
2647065	L	oasis.chubs.ifc	#196428ff
10511485	L	oasis.chubs.ipc	#7d64a0ff
14433500	L	oasis.chubs.ips	#dc3cdcff
3294840	L	oasis.chubs.lateraltemporal	#784632ff
6558940	L	oasis.chubs.medialpfc	#dc1464ff
660700	L	oasis.chubs.mtl	#dc140aff
9180300	L	oasis.chubs.retrosplenial	#8c148cff
4924360	L	oasis.chubs.tp	#c8234bff
1639705	R	unknown	#190519ff
2647065	R	oasis.chubs.ifc	#196428ff
10511485	R	oasis.chubs.ipc	#7d64a0ff
14433500	R	oasis.chubs.ips	#dc3cdcff
3294840	R	oasis.chubs.lateraltemporal	#784632ff
6558940	R	oasis.chubs.medialpfc	#dc1464ff
660700	R	oasis.chubs.mtl	#dc140aff
9180300	R	oasis.chubs.retrosplenial	#8c148cff
4924360	R	oasis.chubs.tp	#c8234bff
