index	hemi	name	color
657930	L	Background	#0a0a0aff
65535	L	17networks_LH_DefaultA_PFCm_1	#ffff00ff
131071	L	17networks_LH_DefaultA_TempPole_1	#ffff01ff
196607	L	17networks_LH_DefaultA_pCunPCC_1	#ffff02ff
4996813	L	17networks_LH_DefaultB_FPole_1	#cd3e4cff
5062349	L	17networks_LH_DefaultB_IPL_1	#cd3e4dff
5127885	L	17networks_LH_DefaultB_Ins_1	#cd3e4eff
5193421	L	17networks_LH_DefaultB_PFCd_1	#cd3e4fff
5258957	L	17networks_LH_DefaultB_PFCl_1	#cd3e50ff
5324493	L	17networks_LH_DefaultB_Temp_1	#cd3e51ff
8454144	L	17networks_LH_DefaultC_PFCd_1	#000081ff
8519680	L	17networks_LH_DefaultC_PHC_1	#000082ff
8585216	L	17networks_LH_DefaultC_RSC_1	#000083ff
16723980	L	17networks_LH_Language_IFG_1	#0c30ffff
16394505	L	17networks_LH_Language_Temp_1	#0929faff
2266342	L	17networks_LH_ContA_IPS_1	#e69422ff
2331878	L	17networks_LH_ContA_PFCl_1	#e69423ff
4862599	L	17networks_LH_ContB_OFC_1	#87324aff
4928135	L	17networks_LH_ContB_Temp_1	#87324bff
11570295	L	17networks_LH_ContC_Cingp_1	#778cb0ff
11635831	L	17networks_LH_ContC_pCun_1	#778cb1ff
16333508	L	17networks_LH_SalVenAttnA_FrMed_1	#c43af9ff
16399044	L	17networks_LH_SalVenAttnA_Ins_1	#c43afaff
16464580	L	17networks_LH_SalVenAttnA_PFCmp_1	#c43afbff
16530116	L	17networks_LH_SalVenAttnA_SPL_1	#c43afcff
13932799	L	17networks_LH_SalVenAttnB_IPL_1	#ff98d4ff
13998335	L	17networks_LH_SalVenAttnB_Ins_1	#ff98d5ff
14063871	L	17networks_LH_SalVenAttnB_PFCl_1	#ff98d6ff
3840842	L	17networks_LH_DorsAttnA_IPL_1	#4a9b3aff
3906378	L	17networks_LH_DorsAttnA_PrCv_1	#4a9b3bff
3971914	L	17networks_LH_DorsAttnA_SPL_1	#4a9b3cff
4037450	L	17networks_LH_DorsAttnA_SPL_2	#4a9b3dff
4102986	L	17networks_LH_DorsAttnA_TempOcc_1	#4a9b3eff
882176	L	17networks_LH_DorsAttnB_PostC_1	#00760dff
947712	L	17networks_LH_DorsAttnB_PrCd_1	#00760eff
1013248	L	17networks_LH_DorsAttnB_SPL_1	#00760fff
10811612	L	17networks_LH_Aud_ST_1	#dcf8a4ff
10877148	L	17networks_LH_Aud_Temp_1	#dcf8a5ff
11829830	L	17networks_LH_SomMotA_1	#4682b4ff
11895366	L	17networks_LH_SomMotA_2	#4682b5ff
10734634	L	17networks_LH_SomMotB_Ins_1	#2acca3ff
10800170	L	17networks_LH_SomMotB_1	#2acca4ff
10865706	L	17networks_LH_SomMotB_2	#2acca5ff
8721016	L	17networks_LH_VisualA_ExStr_1	#781285ff
8786552	L	17networks_LH_VisualA_ExStr_2	#781286ff
8852088	L	17networks_LH_VisualA_ExStr_3	#781287ff
255	L	17networks_LH_VisualB_ExStrInf_1	#ff0000ff
65791	L	17networks_LH_VisualB_ExStrSup_1	#ff0001ff
131327	L	17networks_LH_VisualB_Striate_1	#ff0002ff
3311482	L	17networks_LH_VisualC_ExStr_1	#7a8732ff
3377018	L	17networks_LH_VisualC_Striate_1	#7a8733ff
657930	R	Background	#0a0a0aff
65535	R	17networks_RH_DefaultA_IPL_1	#ffff00ff
131071	R	17networks_RH_DefaultA_PFCd_1	#ffff01ff
196607	R	17networks_RH_DefaultA_PFCm_1	#ffff02ff
262143	R	17networks_RH_DefaultA_TempPole_1	#ffff03ff
327679	R	17networks_RH_DefaultA_pCunPCC_1	#ffff04ff
5127885	R	17networks_RH_DefaultB_PFCd_1	#cd3e4eff
5193421	R	17networks_RH_DefaultB_TempPole_1	#cd3e4fff
8454144	R	17networks_RH_DefaultC_PHC_1	#000081ff
8519680	R	17networks_RH_DefaultC_ParOcc_1	#000082ff
8585216	R	17networks_RH_DefaultC_RSC_1	#000083ff
8650752	R	17networks_RH_DefaultC_pCun_1	#000084ff
16723980	R	17networks_RH_Language_IFG_1	#0c30ffff
16394505	R	17networks_RH_Language_Temp_1	#0929faff
2266342	R	17networks_RH_ContA_IPS_1	#e69422ff
2331878	R	17networks_RH_ContA_PFCl_1	#e69423ff
4797063	R	17networks_RH_ContB_FPole_1	#873249ff
4862599	R	17networks_RH_ContB_IPL_1	#87324aff
4928135	R	17networks_RH_ContB_PFCl_1	#87324bff
4993671	R	17networks_RH_ContB_Temp_1	#87324cff
11504759	R	17networks_RH_ContC_Cingp_1	#778cafff
11570295	R	17networks_RH_ContC_OFC_1	#778cb0ff
11635831	R	17networks_RH_ContC_PFCmp_1	#778cb1ff
11701367	R	17networks_RH_ContC_PFCv_1	#778cb2ff
16333508	R	17networks_RH_SalVenAttnA_FrMed_1	#c43af9ff
16399044	R	17networks_RH_SalVenAttnA_IPL_1	#c43afaff
16464580	R	17networks_RH_SalVenAttnA_SPL_1	#c43afbff
13867263	R	17networks_RH_SalVenAttnB_IPL_1	#ff98d3ff
13932799	R	17networks_RH_SalVenAttnB_Ins_1	#ff98d4ff
13998335	R	17networks_RH_SalVenAttnB_PFCl_1	#ff98d5ff
14063871	R	17networks_RH_SalVenAttnB_PFCl_2	#ff98d6ff
14129407	R	17networks_RH_SalVenAttnB_Temp_1	#ff98d7ff
3971914	R	17networks_RH_DorsAttnA_SPL_1	#4a9b3cff
882176	R	17networks_RH_DorsAttnB_PostC_1	#00760dff
947712	R	17networks_RH_DorsAttnB_PrCd_1	#00760eff
1013248	R	17networks_RH_DorsAttnB_SPL_1	#00760fff
10811612	R	17networks_RH_Aud_ST_1	#dcf8a4ff
11764294	R	17networks_RH_SomMotA_1	#4682b3ff
11829830	R	17networks_RH_SomMotA_2	#4682b4ff
11895366	R	17networks_RH_SomMotA_3	#4682b5ff
10734634	R	17networks_RH_SomMotB_Ins_1	#2acca3ff
10800170	R	17networks_RH_SomMotB_1	#2acca4ff
10865706	R	17networks_RH_SomMotB_2	#2acca5ff
10931242	R	17networks_RH_SomMotB_3	#2acca6ff
8721016	R	17networks_RH_VisualA_ExStr_1	#781285ff
8786552	R	17networks_RH_VisualA_ExStr_2	#781286ff
8852088	R	17networks_RH_VisualA_ExStr_3	#781287ff
255	R	17networks_RH_VisualB_ExStrSup_1	#ff0000ff
65791	R	17networks_RH_VisualB_Striate_1	#ff0001ff
131327	R	17networks_RH_VisualB_Striate_2	#ff0002ff
3311482	R	17networks_RH_VisualC_ExStr_1	#7a8732ff
