index	hemi	name	color
16448250	L	ctx-lh-unknown	#fafafaff
65280	L	a8m	#00ff00ff
255	L	a8dl	#ff0000ff
14449663	L	a9l	#ff7bdcff
16747776	L	a6dl	#008dffff
3491486	L	a6m	#9e4635ff
16772607	L	a9m	#ffedffff
16711909	L	a10m	#e500ffff
65500	L	a9/46d	#dcff00ff
34029	L	ifj	#ed8400ff
5767309	L	a46	#8d0058ff
9288094	L	a9/46v	#9eb98dff
47457	L	a8vl	#61b900ff
6368256	L	a6vl	#002c61ff
2903870	L	a10l	#3e4f2cff
5193313	L	a44d	#613e4fff
54271	L	ifs	#ffd300ff
10354688	L	a45c	#00009eff
16759277	L	a45r	#edb9ffff
10944767	L	a44op	#ff00a7ff
11552300	L	a44v	#2c46b0ff
14472085	L	a14m	#95d3dcff
16745674	L	a12/47o	#ca84ffff
167	L	a11l	#a70000ff
2883628	L	a11m	#2c002cff
9261029	L	a13	#e54f8dff
5222400	L	a12/47l	#00b04fff
10971648	L	a4hf	#006aa7ff
6406541	L	a6cdl	#8dc161ff
8675760	L	a4ul	#b06184ff
22695	L	a4t	#a75800ff
4603392	L	a4tl	#003e46ff
5794436	L	a6cvl	#846a58ff
2921930	L	a1/2/3ll	#ca952cff
4097130	L	a4ll	#6a843eff
11577088	L	a38m	#00a7b0ff
12176127	L	a41/42	#ffcab9ff
6397695	L	te1.0/te1.2	#ff9e61ff
10372784	L	a22c	#b0469eff
8088319	L	a38l	#ff6a7bff
11536754	L	a22r	#7209b0ff
20453	L	a21c	#e54f00ff
1188661	L	a21r	#352312ff
598784	L	a37dl	#002309ff
4074619	L	asts	#7b2c3eff
4648429	L	a20iv	#eded46ff
13886931	L	a37elv	#d3e5d3ff
11007690	L	a20r	#caf6a7ff
8097270	L	a20il	#f68d7bff
8097138	L	a37vl	#728d7bff
2888192	L	a20cl	#00122cff
20294	L	a20cv	#464f00ff
6976185	L	a20rv	#b9726aff
10419968	L	a37mv	#00ff9eff
9292411	L	a37lv	#7bca8dff
5789775	L	a35/36r	#4f5858ff
7471218	L	a35/36c	#720072ff
14467513	L	tl	#b9c1dcff
3473496	L	a28/34	#580035ff
8074566	L	ti	#46357bff
9807801	L	th	#b9a795ff
4619149	L	rpsts	#8d7b46ff
13843977	L	cpsts	#093ed3ff
15057407	L	a7r	#ffc1e5ff
38144	L	a7c	#009500ff
2904001	L	a5l	#c14f2cff
3484716	L	a7pc	#2c2c35ff
4077011	L	a7ip	#d3353eff
9810026	L	a39c	#6ab095ff
8117459	L	a39rd	#d3dc7bff
13828263	L	a40rd	#a700d3ff
4083465	L	a40c	#094f3eff
13873266	L	a39rv	#72b0d3ff
3500597	L	a40rv	#356a35ff
4639232	L	a7m	#00ca46ff
8653302	L	a5m	#f60984ff
1184476	L	dmpos	#dc1212ff
9821246	L	a31	#3edc95ff
11570564	L	a1/2/3ulhf	#848db0ff
15570369	L	a1/2/3tonia	#c195edff
12158207	L	a2	#ff84b9ff
8121767	L	a1/2/3tru	#a7ed7bff
5227007	L	g	#ffc14fff
2293883	L	via	#7b0023ff
11581854	L	dia	#9eb9b0ff
4619210	L	vid/vig	#ca7b46ff
4101455	L	dig	#4f953eff
13839448	L	did	#582cd3ff
626078	L	a23d	#9e8d09ff
6370692	L	a24rv	#843561ff
6971797	L	a32p	#95616aff
10395347	L	a23v	#d39e9eff
8069914	L	a24cd	#1a237bff
13287900	L	a23c	#dcc1caff
15557031	L	a32sg	#a761edff
